Borough Code,DOT street name,CSCL street name,PHYSICALID
4,73 place,73 pl,30542.0
4,73 place,73 pl,30540.0
4,73 place,73 pl,12519.0
4,73 place,73 pl,30548.0
4,73 place,73 pl,12520.0
4,73 place,73 pl,103248.0
4,73 place,73 pl,95942.0
4,73 place,73 pl,30544.0
4,73 place,73 pl,12523.0
4,73 place,73 pl,30539.0
4,73 road,73 rd,96145.0
4,73 road,73 rd,92439.0
4,73 road,73 rd,92440.0
4,73 road,73 rd,33438.0
4,73 road,73 rd,33439.0
4,73 street,73 st,93210.0
4,73 street,73 st,33639.0
4,73 street,73 st,97548.0
4,73 street,73 st,191025.0
4,73 street,73 st,32674.0
4,73 street,73 st,32677.0
4,73 street,73 st,77517.0
4,73 street,73 st,32682.0
4,73 street,73 st,97549.0
4,73 street,73 st,32684.0
4,73 street,73 st,93211.0
4,73 street,73 st,32681.0
4,73 street,73 st,32678.0
4,73 street,73 st,33641.0
4,73 street,73 st,97550.0
4,73 street,73 st,77519.0
4,73 street,73 st,33638.0
4,73 street,73 st,84017.0
4,73 street,73 st,33640.0
4,73 street,73 st,32683.0
4,73 street,73 st,33643.0
4,73 street,73 st,32679.0
4,73 street,73 st,32676.0
4,73 street,73 st,32685.0
4,73 street,73 st,33642.0
4,73 street,73 st,93209.0
4,73 street,73 st,77518.0
4,73 street,73 st,84018.0
4,73 street,73 st,32680.0
4,73 street,73 st,102656.0
4,73 terrace,73 ter,91667.0
4,73 terrace,73 ter,91664.0
4,73 terrace,73 ter,91666.0
4,73 terrace,73 ter,91665.0
4,73 terrace,73 ter,102507.0
4,74 avenue,74 ave,96547.0
4,74 avenue,74 ave,77548.0
4,74 avenue,74 ave,138008.0
4,74 avenue,74 ave,97094.0
4,74 avenue,74 ave,91888.0
4,74 avenue,74 ave,100125.0
4,74 avenue,74 ave,167115.0
4,74 avenue,74 ave,84233.0
4,74 avenue,74 ave,84235.0
4,74 avenue,74 ave,77547.0
4,74 avenue,74 ave,77550.0
4,74 avenue,74 ave,97092.0
4,74 avenue,74 ave,97093.0
4,74 avenue,74 ave,91890.0
4,74 avenue,74 ave,84234.0
4,74 avenue,74 ave,91889.0
4,74 avenue,74 ave,84237.0
4,74 avenue,74 ave,77551.0
4,74 avenue,74 ave,84504.0
4,74 avenue,74 ave,96546.0
4,74 avenue,74 ave,84505.0
4,74 avenue,74 ave,100127.0
4,74 avenue,74 ave,84236.0
4,74 avenue,74 ave,77549.0
4,74 avenue,74 ave,84238.0
4,74 place,74 pl,100069.0
4,74 place,74 pl,99453.0
4,74 street,74 st,33560.0
4,74 street,74 st,32655.0
4,74 street,74 st,32657.0
4,74 street,74 st,32658.0
4,74 street,74 st,76443.0
4,74 street,74 st,33567.0
4,74 street,74 st,33564.0
4,74 street,74 st,33562.0
4,74 street,74 st,82635.0
4,74 street,74 st,33566.0
4,74 street,74 st,192905.0
4,74 street,74 st,33561.0
4,74 street,74 st,33613.0
4,74 street,74 st,192904.0
4,74 street,74 st,82638.0
4,74 street,74 st,76447.0
4,74 street,74 st,33565.0
4,74 street,74 st,32649.0
4,74 street,74 st,32663.0
4,74 street,74 st,33622.0
4,74 street,74 st,32654.0
4,74 street,74 st,129270.0
4,74 street,74 st,82637.0
4,74 street,74 st,33617.0
4,74 street,74 st,33620.0
4,74 street,74 st,31831.0
4,74 street,74 st,191028.0
4,74 street,74 st,33615.0
4,74 street,74 st,32648.0
4,74 street,74 st,32652.0
4,74 street,74 st,33619.0
4,74 street,74 st,76446.0
4,74 street,74 st,32659.0
4,74 street,74 st,82636.0
4,74 street,74 st,31830.0
4,74 street,74 st,12713.0
4,74 street,74 st,31832.0
4,74 street,74 st,32656.0
4,74 street,74 st,33616.0
4,74 street,74 st,82634.0
4,74 street,74 st,32651.0
4,74 street,74 st,32660.0
4,74 street,74 st,32653.0
4,74 street,74 st,191037.0
4,74 street,74 st,33618.0
4,74 street,74 st,76445.0
4,74 street,74 st,32650.0
4,74 street,74 st,33563.0
4,74 street,74 st,99687.0
4,74 street,74 st,76444.0
4,74 street,74 st,146935.0
4,74 street,74 st,33614.0
4,74 street,74 st,31833.0
4,74 street,74 st,31829.0
4,74 street,74 st,12714.0
4,74 street,74 st,33568.0
4,74 street,74 st,33621.0
4,75 avenue,75 ave,93393.0
4,75 avenue,75 ave,93392.0
4,75 avenue,75 ave,76041.0
4,75 avenue,75 ave,96319.0
4,75 avenue,75 ave,116076.0
4,75 avenue,75 ave,13900.0
4,75 avenue,75 ave,13902.0
4,75 avenue,75 ave,90193.0
4,75 avenue,75 ave,76042.0
4,75 avenue,75 ave,20578.0
4,75 avenue,75 ave,162971.0
4,75 avenue,75 ave,13897.0
4,75 avenue,75 ave,20574.0
4,75 avenue,75 ave,76040.0
4,75 avenue,75 ave,96316.0
4,75 avenue,75 ave,20572.0
4,75 avenue,75 ave,99722.0
4,75 avenue,75 ave,20575.0
4,75 avenue,75 ave,13898.0
4,75 avenue,75 ave,116214.0
4,75 avenue,75 ave,93394.0
4,75 avenue,75 ave,189733.0
4,75 avenue,75 ave,122149.0
4,75 avenue,75 ave,76038.0
4,75 avenue,75 ave,76043.0
4,75 avenue,75 ave,20576.0
4,75 avenue,75 ave,90192.0
4,75 avenue,75 ave,13966.0
4,75 avenue,75 ave,96318.0
4,75 avenue,75 ave,117875.0
4,75 avenue,75 ave,13901.0
4,75 avenue,75 ave,96317.0
4,75 avenue,75 ave,76039.0
4,75 avenue,75 ave,90191.0
4,75 avenue,75 ave,20577.0
4,75 avenue,75 ave,96315.0
4,75 avenue,75 ave,13903.0
4,75 avenue,75 ave,13904.0
4,75 avenue,75 ave,13899.0
4,75 avenue,75 ave,25432.0
4,75 avenue,75 ave,25403.0
4,75 avenue,75 ave,25430.0
4,75 avenue,75 ave,25434.0
4,75 avenue,75 ave,25401.0
4,75 avenue,75 ave,25398.0
4,75 avenue,75 ave,25423.0
4,75 avenue,75 ave,25413.0
4,75 avenue,75 ave,25425.0
4,75 avenue,75 ave,25410.0
4,75 avenue,75 ave,25422.0
4,75 avenue,75 ave,25418.0
4,75 avenue,75 ave,25402.0
4,75 avenue,75 ave,25409.0
4,75 avenue,75 ave,25411.0
4,75 avenue,75 ave,25426.0
4,75 avenue,75 ave,25429.0
4,75 avenue,75 ave,25427.0
4,75 avenue,75 ave,25407.0
4,75 avenue,75 ave,25412.0
4,75 avenue,75 ave,25419.0
4,75 avenue,75 ave,25420.0
4,75 avenue,75 ave,25397.0
4,75 avenue,75 ave,25396.0
4,75 avenue,75 ave,25408.0
4,75 avenue,75 ave,25415.0
4,75 avenue,75 ave,25421.0
4,75 avenue,75 ave,25404.0
4,75 avenue,75 ave,25416.0
4,75 avenue,75 ave,25428.0
4,75 avenue,75 ave,25399.0
4,75 avenue,75 ave,25431.0
4,75 avenue,75 ave,25417.0
4,75 avenue,75 ave,25414.0
4,75 avenue,75 ave,25395.0
4,75 avenue,75 ave,25406.0
4,75 avenue,75 ave,25424.0
4,75 avenue,75 ave,25405.0
4,75 avenue,75 ave,25400.0
4,75 place,75 pl,89568.0
4,75 place,75 pl,89566.0
4,75 place,75 pl,31644.0
4,75 place,75 pl,89567.0
4,75 place,75 pl,89569.0
4,75 road,75 rd,81698.0
4,75 road,75 rd,162964.0
4,75 road,75 rd,81699.0
4,75 road,75 rd,81695.0
4,75 road,75 rd,14015.0
4,75 road,75 rd,81696.0
4,75 road,75 rd,80195.0
4,75 road,75 rd,80196.0
4,75 road,75 rd,81700.0
4,75 road,75 rd,14025.0
4,75 road,75 rd,80194.0
4,75 road,75 rd,80484.0
4,75 road,75 rd,95782.0
4,75 street,75 st,33589.0
4,75 street,75 st,31964.0
4,75 street,75 st,84270.0
4,75 street,75 st,30737.0
4,75 street,75 st,95540.0
4,75 street,75 st,30741.0
4,75 street,75 st,123050.0
4,75 street,75 st,33579.0
4,75 street,75 st,31840.0
4,75 street,75 st,33590.0
4,75 street,75 st,10028.0
4,75 street,75 st,33581.0
4,75 street,75 st,33576.0
4,75 street,75 st,33592.0
4,75 street,75 st,10026.0
4,75 street,75 st,33582.0
4,75 street,75 st,33577.0
4,75 street,75 st,10027.0
4,75 street,75 st,95539.0
4,75 street,75 st,33591.0
4,75 street,75 st,30743.0
4,75 street,75 st,33580.0
4,75 street,75 st,97008.0
4,75 street,75 st,30740.0
4,75 street,75 st,30736.0
4,75 street,75 st,33588.0
4,75 street,75 st,33587.0
4,75 street,75 st,84269.0
4,75 street,75 st,30742.0
4,75 street,75 st,10023.0
4,75 street,75 st,95541.0
4,75 street,75 st,10024.0
4,75 street,75 st,31962.0
4,75 street,75 st,97007.0
4,75 street,75 st,100067.0
4,75 street,75 st,165455.0
4,75 street,75 st,10022.0
4,75 street,75 st,33585.0
4,75 street,75 st,33583.0
4,75 street,75 st,10025.0
4,75 street,75 st,30738.0
4,75 street,75 st,31963.0
4,75 street,75 st,10029.0
4,75 street,75 st,30739.0
4,75 street,75 st,84272.0
4,75 street,75 st,100068.0
4,75 street,75 st,33586.0
4,75 street,75 st,84271.0
4,75 street,75 st,33578.0
4,75 street,75 st,102624.0
4,75 street,75 st,102640.0
4,75 street,75 st,102641.0
4,76 avenue,76 ave,25973.0
4,76 avenue,76 ave,25980.0
4,76 avenue,76 ave,93399.0
4,76 avenue,76 ave,93405.0
4,76 avenue,76 ave,25974.0
4,76 avenue,76 ave,93434.0
4,76 avenue,76 ave,93401.0
4,76 avenue,76 ave,25969.0
4,76 avenue,76 ave,90095.0
4,76 avenue,76 ave,93406.0
4,76 avenue,76 ave,82555.0
4,76 avenue,76 ave,82554.0
4,76 avenue,76 ave,93400.0
4,76 avenue,76 ave,80396.0
4,76 avenue,76 ave,25967.0
4,76 avenue,76 ave,80398.0
4,76 avenue,76 ave,25983.0
4,76 avenue,76 ave,25977.0
4,76 avenue,76 ave,25982.0
4,76 avenue,76 ave,25968.0
4,76 avenue,76 ave,190802.0
4,76 avenue,76 ave,80397.0
4,76 avenue,76 ave,25976.0
4,76 avenue,76 ave,84541.0
4,76 avenue,76 ave,25970.0
4,76 avenue,76 ave,25978.0
4,76 avenue,76 ave,93407.0
4,76 avenue,76 ave,25981.0
4,76 avenue,76 ave,93408.0
4,76 avenue,76 ave,93404.0
4,76 avenue,76 ave,84542.0
4,76 avenue,76 ave,25971.0
4,76 avenue,76 ave,5207.0
4,76 avenue,76 ave,93402.0
4,76 avenue,76 ave,25979.0
4,76 avenue,76 ave,84543.0
4,76 avenue,76 ave,25972.0
4,76 avenue,76 ave,25975.0
4,76 avenue,76 ave,93403.0
4,76 drive,76 dr,76834.0
4,76 road,76 rd,14005.0
4,76 road,76 rd,99807.0
4,76 road,76 rd,14008.0
4,76 road,76 rd,14006.0
4,76 road,76 rd,14007.0
4,76 road,76 rd,82567.0
4,76 road,76 rd,14009.0
4,76 road,76 rd,82566.0
4,76 road,76 rd,14004.0
4,76 road,76 rd,190803.0
4,76 road,76 rd,28268.0
4,76 road,76 rd,28271.0
4,76 road,76 rd,28272.0
4,76 road,76 rd,28275.0
4,76 road,76 rd,28276.0
4,76 road,76 rd,28274.0
