,normalized_street_name,Vol
457,3-mac dougal street,23.975124378109452
458,3-mackenzie street,12.75
459,3-malcolm x boulevard,46.365642994241846
460,3-manhattan avenue,46.55769230769231
461,3-marcy avenue,122.79258241758242
462,3-marion street,22.953488372093023
463,3-mc donald avenue,54.1664201183432
464,3-mc guinness boulevard,213.58184764991896
465,3-mc guinness boulevard south,155.26923076923077
466,3-meeker avenue,118.24568965517241
467,3-metropolitan avenue,110.15915119363395
468,3-metropolitan avenue bridge,208.23435843054082
469,3-mill basin bridge,933.7692307692307
470,3-monitor street,27.931318681318682
471,3-montgomery street,23.061191626409016
472,3-morgan avenue,53.18859649122807
473,3-myrtle avenue,69.79665071770334
474,3-nassau avenue,76.04288499025341
475,3-neptune avenue,115.17074644907827
476,3-nevins street,100.95054945054945
477,3-new utrecht avenue,50.21153846153846
478,3-new york avenue,92.15
479,3-newel street,16.52980132450331
480,3-north 14 street,28.384615384615383
481,3-north conduit avenue,256.1730769230769
482,3-nostrand avenue,144.6517094017094
483,3-ocean avenue,118.5264423076923
484,3-ocean parkway,104.40141271442987
485,3-ocean view avenue,67.21014492753623
486,3-old fulton street,75.01923076923077
487,3-pacific street,39.14779874213836
488,3-parkside avenue,178.27945205479452
489,3-pennsylvania avenue,93.78983516483517
490,3-pitkin avenue,85.5
491,3-president street,4.0
492,3-prospect avenue,179.88291139240508
493,3-prospect expressway,525.803448275862
494,3-prospect park southwest,69.01538461538462
495,3-prospect street,8.096153846153847
496,3-provost street,65.96153846153847
497,3-pulaski bridge,208.33164983164983
498,3-ralph avenue,142.47596153846155
499,3-remsen avenue,120.5576923076923
500,3-richardson street,4.78021978021978
501,3-ridge boulevard,42.666666666666664
502,3-rochester avenue,63.161764705882355
503,3-rodney street,61.36217948717949
504,3-rugby road,30.21153846153846
505,3-russell street,37.78021978021978
506,3-ryder street,27.824074074074073
507,3-saratoga avenue,103.26139817629179
508,3-schermerhorn street,58.892857142857146
509,3-schroeders avenue,19.666666666666668
510,3-scott avenue,10.75301204819277
511,3-seaview avenue,23.361538461538462
512,3-seeley street,26.95754716981132
513,3-senator street,19.88653846153846
514,3-shell road,126.16029411764706
515,3-shore boulevard,54.6
516,3-shore parkway,116.35576923076923
517,3-smith street,73.9423076923077
