normalized_street_name_season,normalized_street_name,roadwork_season,area,total_area,roadwork_factor
1-6 avenue_summer_2019,1-6 avenue,2019,9190.0,137845.8,0.0667
1-6 avenue_summer_2020,1-6 avenue,2020,11646.7,137845.8,0.0845
1-6 avenue_summer_2022,1-6 avenue,2022,20082.0,137845.8,0.1457
1-6 avenue_summer_2023,1-6 avenue,2023,18268.0,137845.8,0.1325
1-6 avenue_summer_2024,1-6 avenue,2024,28283.0,137845.8,0.2052
1-6 avenue_summer_2025,1-6 avenue,2025,476.0,137845.8,0.0035
1-6 avenue_summer_2026,1-6 avenue,2026,384.0,137845.8,0.0028
1-65 street transverse_summer_2004,1-65 street transverse,2004,5253.3,17906.7,0.2934
1-65 street transverse_summer_2009,1-65 street transverse,2009,32430.6,17906.7,1.8111
1-65 street transverse_summer_2015,1-65 street transverse,2015,47046.7,17906.7,2.6273
1-7 avenue_summer_2003,1-7 avenue,2003,131045.1,82206.1,1.5941
1-7 avenue_summer_2005,1-7 avenue,2005,280971.2,82206.1,3.4179
1-7 avenue_summer_2009,1-7 avenue,2009,400601.4,82206.1,4.8731
1-7 avenue_summer_2010,1-7 avenue,2010,18380.0,82206.1,0.2236
1-7 avenue_summer_2013,1-7 avenue,2013,286862.1,82206.1,3.4895
1-7 avenue_summer_2015,1-7 avenue,2015,19610.8,82206.1,0.2386
1-7 avenue_summer_2018,1-7 avenue,2018,166383.9,82206.1,2.024
1-7 avenue_summer_2019,1-7 avenue,2019,9009.7,82206.1,0.1096
1-7 avenue_summer_2020,1-7 avenue,2020,13537.8,82206.1,0.1647
1-7 avenue_summer_2021,1-7 avenue,2021,34492.8,82206.1,0.4196
1-7 avenue_summer_2022,1-7 avenue,2022,63302.0,82206.1,0.77
1-7 avenue_summer_2023,1-7 avenue,2023,63853.0,82206.1,0.7767
1-7 avenue_summer_2024,1-7 avenue,2024,92302.0,82206.1,1.1228
1-7 avenue_summer_2025,1-7 avenue,2025,163373.0,82206.1,1.9874
1-7 avenue south_summer_2005,1-7 avenue south,2005,51160.0,18491.0,2.7668
1-7 avenue south_summer_2019,1-7 avenue south,2019,24156.6,18491.0,1.3064
1-7 avenue south_summer_2021,1-7 avenue south,2021,167.0,18491.0,0.009
1-72 street transverse_summer_2008,1-72 street transverse,2008,10857.0,,
1-72 street transverse_summer_2020,1-72 street transverse,2020,6106.7,,
1-79 street transverse_summer_2008,1-79 street transverse,2008,77400.0,10166.8,7.613
1-79 street transverse_summer_2020,1-79 street transverse,2020,73366.7,10166.8,7.2163
1-8 avenue_summer_2006,1-8 avenue,2006,312170.4,97651.6,3.1968
1-8 avenue_summer_2007,1-8 avenue,2007,22638.7,97651.6,0.2318
1-8 avenue_summer_2016,1-8 avenue,2016,65370.3,97651.6,0.6694
1-8 avenue_summer_2017,1-8 avenue,2017,117777.2,97651.6,1.2061
1-8 avenue_summer_2018,1-8 avenue,2018,24400.7,97651.6,0.2499
1-8 avenue_summer_2019,1-8 avenue,2019,44731.3,97651.6,0.4581
1-8 avenue_summer_2022,1-8 avenue,2022,48322.0,97651.6,0.4948
1-8 avenue_summer_2023,1-8 avenue,2023,11256.0,97651.6,0.1153
1-8 avenue_summer_2024,1-8 avenue,2024,7678.0,97651.6,0.0786
1-8 avenue_summer_2025,1-8 avenue,2025,23079.0,97651.6,0.2363
1-85 street transverse_summer_2003,1-85 street transverse,2003,2640.0,,
1-85 street transverse_summer_2017,1-85 street transverse,2017,2626.7,,
1-86 street transverse_summer_2003,1-86 street transverse,2003,59233.3,7260.7,8.1581
1-86 street transverse_summer_2017,1-86 street transverse,2017,57520.0,7260.7,7.9221
1-9 avenue_summer_2007,1-9 avenue,2007,26855.9,107918.6,0.2489
1-9 avenue_summer_2012,1-9 avenue,2012,68093.1,107918.6,0.631
1-9 avenue_summer_2014,1-9 avenue,2014,7397.1,107918.6,0.0685
1-9 avenue_summer_2018,1-9 avenue,2018,3608.6,107918.6,0.0334
1-9 avenue_summer_2019,1-9 avenue,2019,27753.6,107918.6,0.2572
1-9 avenue_summer_2025,1-9 avenue,2025,28064.0,107918.6,0.26
1-9 avenue_summer_2026,1-9 avenue,2026,324.0,107918.6,0.003
1-97 street transverse_summer_2008,1-97 street transverse,2008,35835.4,12500.3,2.8668
1-97 street transverse_summer_2017,1-97 street transverse,2017,47596.7,12500.3,3.8076
1-abraham kazan street_summer_2021,1-abraham kazan street,2021,11684.5,946.4,12.3463
1-academy street_summer_2015,1-academy street,2015,13363.7,10634.5,1.2566
1-academy street_summer_2021,1-academy street,2021,16518.5,10634.5,1.5533
1-academy street_summer_2024,1-academy street,2024,225.0,10634.5,0.0212
1-academy street_summer_2025,1-academy street,2025,301.0,10634.5,0.0283
1-albany street_summer_2018,1-albany street,2018,9680.0,5368.1,1.8032
1-albany street_summer_2022,1-albany street,2022,39.0,5368.1,0.0073
1-allen street_summer_2003,1-allen street,2003,125464.9,24938.6,5.031
1-allen street_summer_2022,1-allen street,2022,18049.0,24938.6,0.7237
1-amsterdam avenue_summer_2004,1-amsterdam avenue,2004,18389.4,227083.5,0.081
1-amsterdam avenue_summer_2006,1-amsterdam avenue,2006,299185.7,227083.5,1.3175
1-amsterdam avenue_summer_2009,1-amsterdam avenue,2009,184558.5,227083.5,0.8127
1-amsterdam avenue_summer_2010,1-amsterdam avenue,2010,34481.3,227083.5,0.1518
1-amsterdam avenue_summer_2012,1-amsterdam avenue,2012,142900.1,227083.5,0.6293
1-amsterdam avenue_summer_2014,1-amsterdam avenue,2014,212712.7,227083.5,0.9367
1-amsterdam avenue_summer_2015,1-amsterdam avenue,2015,197451.4,227083.5,0.8695
1-amsterdam avenue_summer_2016,1-amsterdam avenue,2016,38464.6,227083.5,0.1694
1-amsterdam avenue_summer_2017,1-amsterdam avenue,2017,62349.1,227083.5,0.2746
1-amsterdam avenue_summer_2019,1-amsterdam avenue,2019,15998.0,227083.5,0.0704
1-amsterdam avenue_summer_2020,1-amsterdam avenue,2020,10984.1,227083.5,0.0484
1-amsterdam avenue_summer_2022,1-amsterdam avenue,2022,69056.0,227083.5,0.3041
1-amsterdam avenue_summer_2023,1-amsterdam avenue,2023,81651.0,227083.5,0.3596
1-amsterdam avenue_summer_2024,1-amsterdam avenue,2024,108187.0,227083.5,0.4764
1-arden street_summer_2017,1-arden street,2017,13039.3,5223.2,2.4964
1-arden street_summer_2024,1-arden street,2024,6559.0,5223.2,1.2557
1-astor place_summer_2012,1-astor place,2012,1558.0,3477.1,0.4481
1-attorney street_summer_2012,1-attorney street,2012,11489.1,4251.2,2.7026
1-attorney street_summer_2022,1-attorney street,2022,376.0,4251.2,0.0884
1-audubon avenue_summer_2014,1-audubon avenue,2014,12520.0,35157.1,0.3561
1-audubon avenue_summer_2019,1-audubon avenue,2019,6053.0,35157.1,0.1722
1-audubon avenue_summer_2023,1-audubon avenue,2023,15895.0,35157.1,0.4521
1-audubon avenue_summer_2024,1-audubon avenue,2024,12965.0,35157.1,0.3688
1-avenue a_summer_2006,1-avenue a,2006,27788.9,18713.9,1.4849
1-avenue a_summer_2022,1-avenue a,2022,326.0,18713.9,0.0174
1-avenue a_summer_2023,1-avenue a,2023,1006.0,18713.9,0.0538
1-avenue a_summer_2024,1-avenue a,2024,7383.0,18713.9,0.3945
1-avenue a_summer_2026,1-avenue a,2026,15516.0,18713.9,0.8291
1-avenue b_summer_2012,1-avenue b,2012,19344.7,12622.2,1.5326
1-avenue b_summer_2021,1-avenue b,2021,19098.3,12622.2,1.5131
1-avenue b_summer_2022,1-avenue b,2022,201.0,12622.2,0.0159
1-avenue b_summer_2023,1-avenue b,2023,844.0,12622.2,0.0669
1-avenue c_summer_2008,1-avenue c,2008,265162.3,30114.6,8.8051
1-avenue c_summer_2012,1-avenue c,2012,19280.0,30114.6,0.6402
