normalized_street_name,Vol
3-belt parkway eb en ridge boulevard,183.59615384615384
3-belt parkway exit 14 eastbound,97.82211538461539
3-belt parkway wb en 4 avenue,30.13034188034188
3-belt parkway wb en flatbush avenue nb,87.45192307692308
3-bergen street,61.09243697478992
3-beverly road,69.69773299748111
3-blake avenue,174.6590909090909
3-bleecker street,13.19869706840391
3-bqe eastbound entrance sands street,199.34615384615384
3-bqe eb en williamsburg street east,239.98076923076923
3-bqe wb entrance metropolitan avenue,172.42222222222222
3-bqe wb entrance old fulton street,347.5576923076923
3-bqe westbound entrance sands street,150.53365384615384
3-brighton beach avenue,73.36752136752136
3-broadway,57.22641509433962
3-brooklyn avenue,82.66208791208791
3-brooklyn queens ep et 29 a eb,2.312937062937063
3-brooklyn queens ep et 32 b wb,159.1030303030303
3-brooklyn queens expressway,772.5882642998027
3-brooklyn queens expwy et 33 eb,96.36057692307692
3-brooklyn queens expwy et 34 wb,213.3028846153846
3-buckingham road,18.059171597633135
3-bushwick avenue,110.54945054945055
3-cadman plaza west,84.67307692307692
3-caton avenue,129.83484162895928
3-chestnut street,26.923076923076923
3-church avenue,66.55936454849498
3-classon avenue,105.66666666666667
3-columbia street,72.7
3-coney island avenue,59.64655172413793
3-connector,5.2905982905982905
3-conway street,12.770142180094787
3-cooper street,57.84653465346535
3-cornelia street,29.94101694915254
3-cortelyou road,69.92841880341881
3-court street,131.289156626506
3-crooke avenue,87.4090909090909
3-cropsey avenue,181.40384615384616
3-cropsey avenue bridge,223.55054613060656
3-dahill road,35.94
3-dahlgren place,153.86451612903227
3-dean street,53.201550387596896
3-decatur street,42.80437756497948
3-dekalb avenue,61.19442433019551
3-delevan street,19.146153846153847
3-diamond street,14.333333333333334
3-division avenue,50.60576923076923
3-dorchester road,74.43775100401606
3-douglass street,15.85576923076923
3-driggs avenue,60.52549019607843
3-east 102 street,31.445054945054945
3-east 103 street,25.466346153846153
3-east 105 street,39.598765432098766
3-east 2 street,19.5609756097561
3-east 24 street,13.285714285714286
3-east 28 street,18.20673076923077
3-east 32 street,13.336538461538462
3-east 51 street,14.412087912087912
3-east 52 street,28.173076923076923
3-east 59 street,11.898550724637682
3-east 7 street,35.66101694915254
3-east 9 street,13.572115384615385
3-east 92 street,39.89423076923077
3-east 93 street,11.4
3-east 94 street,19.724137931034484
3-east drive,16.198501872659175
3-east lake drive,1.3423799582463465
3-eastern parkway,25.74386339381003
3-emmons avenue,147.46601941747574
3-empire boulevard,119.19883040935673
3-evergreen avenue,102.0
3-farragut road,62.357314148681056
3-flatbush avenue,215.67308166790033
3-flatlands avenue,91.7
3-flushing avenue,100.82448036951502
3-forbell street,34.270531400966185
3-fort hamilton parkway,157.875
3-foster avenue,67.4010989010989
3-fountain avenue,76.77884615384616
3-franklin street,68.76497695852535
3-freeman street,24.976190476190474
